<트레바리 클럽 별 선정 도서 목록>
Updated on 2018-12-30 19:48:45

"69, 영화: <69 식스티 나인>" 	(북씨-블루, 압구정 01월 11일)
"자기 앞의 생" 	(문-25, 성수 01월 11일)
"전설로 떠나는 월가의 영웅" 	(투자입문-25, 성수 01월 11일)
"누가 김부장을 죽였나" 	(회사인간, 안국 01월 11일)
"엄청나게 시끄럽고 믿을수 없게 가까운" 	(북씨-25, 성수 01월 11일)
"실리콘밸리를 그리다, 왜 일하는가" 	(리더십입문-25, 성수 01월 11일)
"[책읽찌라 추천책] 타인은 나를 모른다" 	(럽럽-25, 압구정 01월 11일)
"머니볼(Money Ball)" 	(야구야구-25, 압구정 01월 11일)
"버스트 : 인간의 행동 속에 숨겨진 법칙" 	(데이터 사이언스의 사고와 실제, 성수 01월 12일)
"Crazy Rich Asians (Paperback)" 	(잉잉-둘토, 안국 01월 12일)
"소크라테스의 변론 / 크리톤 / 파이돈" 	(진진-레드, 압구정 01월 12일)
"[책읽찌라 추천책] 우리는 언젠가 만난다" 	(둘토, 안국 01월 12일)
"에픽 콘텐츠 마케팅" 	(디지털콘텐츠+비즈니스, 성수 01월 12일)
"지적자본론" 	(이콘-26, 성수 01월 12일)
"여덟 단어" 	(마음-옐로, 압구정 01월 12일)
"시티 그리너리" 	(과학의시선, 압구정 01월 12일)
"뼈 있는 아무 말 대잔치" 	(무경계-26, 성수 01월 12일)
"햄릿" 	(극극-블루, 압구정 01월 12일)
"장미의 이름 세트 (전2권)" 	(셜록-26, 성수 01월 12일)
"예감은 틀리지 않는다" 	(26, 압구정 01월 12일)
"뉴스의 시대" 	(국내이슈-26, 압구정 01월 12일)
"요즘 브랜드" 	(브랜드랜드-둘토, 안국 01월 12일)
"어쩌면 괜찮은 나이" 	(현대적인 또는 현재적인 ‘어떤’ 책, 안국 01월 12일)
"머신 플랫폼 크라우드" 	(인간과기술-둘토, 안국 01월 12일)
"서울의 3년 이하 빵집들" 	(로컬+창업+컨셉, 성수 01월 12일)
"돌이킬 수 없는 약속" 	(북씨-파랑, 안국 01월 12일)
"야망의 시대" 	(월드이슈-26, 압구정 01월 12일)
"원칙(PRINCIPLES)" 	(스타텁-26, 성수 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)
"요즘 브랜드" 	(마케팅-파랑, 안국 01월 12일)

총 120 개
